code,description
100,"Fire, other"
111,"Building fire"
112,"Fires in structure other than in a building"
113,"Cooking fire, confined to container"
114,"Chimney or flue fire, confined to chimney or flue"
115,"Incinerator overload or malfunction, fire confined"
116,"Fuel burner/boiler malfunction, fire confined"
117,"Commercial compactor fire, confined to rubbish"
118,"Trash or rubbish fire, contained"
120,"Fire in mobile property used as a fixed structure, other"
121,"Fire in mobile home used as fixed residence"
122,"Fire in motor home, camper, recreational vehicle"
123,"Fire in portable building, fixed location"
130,"Mobile property (vehicle) fire, other"
131,"Passenger vehicle fire"
132,"Road freight or transport vehicle fire"
133,"Rail vehicle fire"
134,"Water vehicle fire"
135,"Aircraft fire"
136,"Self-propelled motor home or recreational vehicle fire"
137,"Camper or recreational vehicle (RV) fire"
138,"Off-road vehicle or heavy equipment fire"
140,"Natural vegetation fire, other"
141,"Forest, woods or wildland fire"
142,"Brush or brush-and-grass mixture fire"
143,"Grass fire"
150,"Outside rubbish fire, other"
151,"Outside rubbish, trash or waste fire"
152,"Garbage dump or sanitary landfill fire"
153,"Construction or demolition landfill fire"
154,"Dumpster or other outside trash receptacle fire"
155,"Outside stationary compactor/compacted trash fire"
160,"Special outside fire, other"
161,"Outside storage fire"
162,"Outside equipment fire"
163,"Outside gas or vapor combustion explosion"
164,"Outside mailbox fire"
170,"Cultivated vegetation, crop fire, other"
171,"Cultivated grain or crop fire"
172,"Cultivated orchard or vineyard fire"
173,"Cultivated trees or nursery stock fire"
200,"Overpressure rupture, explosion, overheat, other"
211,"Overpressure rupture of steam boiler"
212,"Overpressure rupture of air or gas pipe/pipeline"
213,"Overpressure rupture of pressure or process vessel"
220,"Overpressure rupture from air or gas, other"
221,"Overpressure rupture of air or gas pipe/pipeline"
222,"Overpressure rupture of boiler from air or gas"
223,"Air or gas rupture of pressure or process vessel"
231,"Chemical reaction rupture of process vessel"
240,"Explosion (no fire), other"
241,"Munitions or bomb explosion (no fire)"
242,"Blasting agent explosion (no fire)"
243,"Fireworks explosion (no fire)"
244,"Dust explosion (no fire)"
251,"Excessive heat, scorch burns with no ignition"
300,"Rescue, EMS incident, other"
311,"Medical assist, assist EMS crew"
320,"Emergency medical service incident, other"
321,"EMS call, excluding vehicle accident with injury"
322,"Motor vehicle accident with injuries"
323,"Motor vehicle/pedestrian accident (MV Ped)"
