FIPS,LOCATION,E_TOTPOP,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,EP_AGE65,EP_DISABL,EP_POV150,EP_MINRTY
22033000100,Census Tract 1; East Baton Rouge Parish; Louisiana,1118,0.8842,0.9721,0.4194,0.9817,0.6584,19.5,31.4,74.2,99.4
22033000200,Census Tract 2; East Baton Rouge Parish; Louisiana,5896,0.9956,0.9751,0.9853,0.9502,0.956,11.6,26.0,59.3,97.0
22033000300,Census Tract 3; East Baton Rouge Parish; Louisiana,1346,0.8497,0.7969,0.6525,0.97,0.7617,17.9,26.7,57.6,98.7
22033000400,Census Tract 4; East Baton Rouge Parish; Louisiana,2612,0.8761,0.9333,0.5249,0.9122,0.7229,8.9,19.3,35.5,92.6
22033000500,Census Tract 5; East Baton Rouge Parish; Louisiana,3164,0.9553,0.9963,0.4435,0.9539,0.8321,8.1,17.7,57.8,97.5
22033000601,Census Tract 6.01; East Baton Rouge Parish; Louisiana,2477,0.7427,0.8776,0.4413,0.9773,0.4692,14.8,16.1,45.3,99.2
22033000602,Census Tract 6.02; East Baton Rouge Parish; Louisiana,3849,0.89,0.9406,0.7221,0.9905,0.5469,21.9,21.1,49.3,100.0
22033000701,Census Tract 7.01; East Baton Rouge Parish; Louisiana,2043,0.9861,0.989,0.89,0.9905,0.813,9.3,13.3,59.5,100.0
22033000702,Census Tract 7.02; East Baton Rouge Parish; Louisiana,3143,0.7757,0.8541,0.3453,0.9597,0.6921,13.0,18.5,40.9,98.1
22033000900,Census Tract 9; East Baton Rouge Parish; Louisiana,3747,0.7588,0.8658,0.5909,0.9788,0.4238,21.4,32.1,49.5,99.3
22033001000,Census Tract 10; East Baton Rouge Parish; Louisiana,2914,0.6716,0.6364,0.2581,0.989,0.7339,10.6,18.2,46.5,99.8
22033001102,Census Tract 11.02; East Baton Rouge Parish; Louisiana,4088,0.9934,0.9194,0.9413,0.825,0.9956,16.0,18.3,46.9,79.6
22033001103,Census Tract 11.03; East Baton Rouge Parish; Louisiana,3989,0.9304,0.9853,0.8908,0.8953,0.4487,8.5,16.3,50.4,90.0
22033001104,Census Tract 11.04; East Baton Rouge Parish; Louisiana,3125,0.9971,0.9919,0.9501,0.9363,0.9824,9.8,24.8,71.4,95.8
22033001600,Census Tract 16; East Baton Rouge Parish; Louisiana,3065,0.1979,0.382,0.0381,0.4736,0.3541,15.9,11.9,28.1,37.4
22033001700,Census Tract 17; East Baton Rouge Parish; Louisiana,4520,0.3021,0.2199,0.2045,0.4385,0.6151,21.5,15.1,28.1,34.6
22033001800,Census Tract 18; East Baton Rouge Parish; Louisiana,2630,0.783,0.6598,0.868,0.4568,0.7603,18.9,21.9,14.1,35.9
22033001900,Census Tract 19; East Baton Rouge Parish; Louisiana,3359,0.0198,0.088,0.0183,0.1157,0.1232,14.1,12.0,7.1,12.6
22033002000,Census Tract 20; East Baton Rouge Parish; Louisiana,3812,0.1745,0.0696,0.5315,0.1596,0.3607,22.9,14.2,6.9,15.0
22033002200,Census Tract 22; East Baton Rouge Parish; Louisiana,1197,0.8827,0.9465,0.4245,0.8485,0.8006,11.8,16.0,53.6,83.9
22033002300,Census Tract 23; East Baton Rouge Parish; Louisiana,2642,0.0051,0.0616,0.022,0.0549,0.0433,16.1,8.7,8.7,7.6
22033002400,Census Tract 24; East Baton Rouge Parish; Louisiana,2363,0.8475,0.9377,0.184,0.7965,0.8922,13.0,13.5,44.3,73.4
22033002500,Census Tract 25; East Baton Rouge Parish; Louisiana,2668,0.4531,0.5667,0.0836,0.7416,0.6085,10.8,23.2,38.6,65.7
22033002601,Census Tract 26.01; East Baton Rouge Parish; Louisiana,4586,0.0367,0.1085,0.0609,0.243,0.0931,15.6,7.9,26.5,19.9
22033002602,Census Tract 26.02; East Baton Rouge Parish; Louisiana,5098,0.3739,0.2625,0.3688,0.4553,0.5872,17.4,21.5,15.7,35.8
22033002700,Census Tract 27; East Baton Rouge Parish; Louisiana,1520,0.0521,0.1716,0.1107,0.6676,0.0176,14.9,7.4,19.3,56.0
22033002801,Census Tract 28.01; East Baton Rouge Parish; Louisiana,3218,0.5198,0.6488,0.0484,0.683,0.7859,0.0,8.6,80.9,57.9
22033002802,Census Tract 28.02; East Baton Rouge Parish; Louisiana,5237,0.5521,0.8218,0.0059,0.4744,0.8915,0.8,9.2,67.0,37.5
22033003000,Census Tract 30; East Baton Rouge Parish; Louisiana,4828,0.7573,0.8981,0.1767,0.9305,0.7317,6.8,15.4,56.3,95.3
22033003104,Census Tract 31.04; East Baton Rouge Parish; Louisiana,5478,0.9817,0.9208,0.8548,0.9436,0.9435,16.0,19.6,57.2,96.2
22033003201,Census Tract 32.01; East Baton Rouge Parish; Louisiana,4087,0.6129,0.585,0.7185,0.8514,0.3702,11.5,22.8,44.9,84.3
22033003202,Census Tract 32.02; East Baton Rouge Parish; Louisiana,3120,0.3255,0.4655,0.1232,0.817,0.2735,19.1,14.3,19.4,78.2
22033003300,Census Tract 33; East Baton Rouge Parish; Louisiana,5384,0.7903,0.882,0.1584,0.9788,0.8328,10.6,25.1,48.9,99.3
22033003400,Census Tract 34; East Baton Rouge Parish; Louisiana,6433,0.9677,0.9413,0.8116,0.9619,0.8658,20.4,31.4,47.6,98.2
22033003501,Census Tract 35.01; East Baton Rouge Parish; Louisiana,3095,0.8167,0.5836,0.9817,0.9217,0.5227,17.9,16.9,36.8,93.9
22033003504,Census Tract 35.04; East Baton Rouge Parish; Louisiana,6403,0.5982,0.8013,0.5968,0.9905,0.1195,15.4,13.6,51.7,100.0
22033003505,Census Tract 35.05; East Baton Rouge Parish; Louisiana,2477,0.9729,0.813,0.7962,0.9517,0.9919,11.4,19.6,31.5,97.1
22033003506,Census Tract 35.06; East Baton Rouge Parish; Louisiana,5119,0.3409,0.4194,0.1987,0.8755,0.2537,15.5,16.8,21.2,87.7
22033003507,Census Tract 35.07; East Baton Rouge Parish; Louisiana,4767,0.654,0.4326,0.8446,0.9319,0.4993,14.5,14.4,20.0,95.4
22033003601,Census Tract 36.01; East Baton Rouge Parish; Louisiana,3345,0.9245,0.7573,0.9795,0.8777,0.7221,18.0,21.3,34.3,88.0
22033003603,Census Tract 36.03; East Baton Rouge Parish; Louisiana,2438,0.8629,0.8578,0.607,0.9019,0.8013,7.8,14.1,48.7,90.8
22033003604,Census Tract 36.04; East Baton Rouge Parish; Louisiana,6059,0.9487,0.9685,0.8438,0.9619,0.6496,5.1,8.9,52.9,98.2
22033003701,Census Tract 37.01; East Baton Rouge Parish; Louisiana,6048,0.5682,0.404,0.8893,0.5542,0.4421,21.5,17.3,15.3,43.6
22033003702,Census Tract 37.02; East Baton Rouge Parish; Louisiana,4807,0.8805,0.6679,0.9333,0.7584,0.8182,15.1,15.1,34.9,67.3
22033003703,Census Tract 37.03; East Baton Rouge Parish; Louisiana,7732,0.6525,0.5022,0.6136,0.7306,0.7207,12.9,9.8,10.5,63.8
22033003804,Census Tract 38.04; East Baton Rouge Parish; Louisiana,4677,0.5718,0.599,0.3358,0.2533,0.7977,23.4,13.4,21.5,20.8
22033003806,Census Tract 38.06; East Baton Rouge Parish; Louisiana,3998,0.434,0.3988,0.2089,0.716,0.6056,20.6,7.5,29.3,61.8
22033003807,Census Tract 38.07; East Baton Rouge Parish; Louisiana,3701,0.1701,0.1019,0.0704,0.6179,0.5425,14.2,9.9,18.0,49.9
22033003808,Census Tract 38.08; East Baton Rouge Parish; Louisiana,3239,0.346,0.1921,0.2434,0.4978,0.7273,17.6,12.5,1.8,38.8
22033003809,Census Tract 38.09; East Baton Rouge Parish; Louisiana,2979,0.1085,0.1217,0.0689,0.3463,0.3981,17.5,12.1,11.7,27.3
22033003810,Census Tract 38.10; East Baton Rouge Parish; Louisiana,2502,0.0777,0.1686,0.0843,0.2599,0.2155,19.6,10.6,5.9,21.3
22033003811,Census Tract 38.11; East Baton Rouge Parish; Louisiana,4350,0.3732,0.2317,0.5103,0.6801,0.4245,10.3,7.3,21.6,57.6
22033003907,Census Tract 39.07; East Baton Rouge Parish; Louisiana,6229,0.5103,0.6151,0.6708,0.6105,0.2221,19.9,17.5,22.7,48.8
22033003908,Census Tract 39.08; East Baton Rouge Parish; Louisiana,4510,0.1386,0.0814,0.3856,0.4275,0.2104,23.9,11.6,6.4,33.6
22033003909,Census Tract 39.09; East Baton Rouge Parish; Louisiana,3678,0.6701,0.4157,0.7669,0.6552,0.7654,14.8,20.3,22.6,54.7
22033003910,Census Tract 39.10; East Baton Rouge Parish; Louisiana,2794,0.8812,0.695,0.9721,0.8075,0.6994,15.0,16.5,40.8,75.7
22033003911,Census Tract 39.11; East Baton Rouge Parish; Louisiana,5012,0.0557,0.0213,0.1334,0.7665,0.1386,12.3,10.4,7.8,68.2
22033003912,Census Tract 39.12; East Baton Rouge Parish; Louisiana,3496,0.9736,0.9479,0.9575,0.8924,0.7434,4.8,17.6,48.3,89.4
22033003913,Census Tract 39.13; East Baton Rouge Parish; Louisiana,6511,0.206,0.077,0.772,0.5593,0.1452,19.9,12.4,19.0,44.2
22033003914,Census Tract 39.14; East Baton Rouge Parish; Louisiana,3505,0.2969,0.1312,0.8666,0.6003,0.1408,20.2,18.3,11.9,48.1
22033004010,Census Tract 40.10; East Baton Rouge Parish; Louisiana,5747,0.2295,0.1459,0.4523,0.4817,0.2874,18.5,8.4,14.3,38.1
22033004013,Census Tract 40.13; East Baton Rouge Parish; Louisiana,3860,0.7669,0.8035,0.1261,0.7482,0.937,2.5,8.1,51.8,66.1
22033004017,Census Tract 40.17; East Baton Rouge Parish; Louisiana,3726,0.294,0.3182,0.6246,0.7343,0.0696,24.9,24.9,13.0,64.9
22033004018,Census Tract 40.18; East Baton Rouge Parish; Louisiana,2241,0.7067,0.6356,0.4824,0.6581,0.8043,15.0,25.8,39.5,55.0
22033004019,Census Tract 40.19; East Baton Rouge Parish; Louisiana,3794,0.1026,0.0315,0.5227,0.3009,0.1818,24.5,9.3,2.9,24.0
22033004020,Census Tract 40.20; East Baton Rouge Parish; Louisiana,5019,0.2427,0.0755,0.7192,0.2906,0.368,27.5,9.4,14.0,23.3
22033004021,Census Tract 40.21; East Baton Rouge Parish; Louisiana,5184,0.3028,0.2419,0.1063,0.6962,0.5865,7.9,5.8,9.9,59.8
22033004022,Census Tract 40.22; East Baton Rouge Parish; Louisiana,5319,0.1532,0.0799,0.1092,0.5805,0.4795,11.1,7.7,6.3,46.0
22033004023,Census Tract 40.23; East Baton Rouge Parish; Louisiana,3754,0.0909,0.5323,0.0095,0.205,0.1188,0.0,5.3,62.9,17.6
22033004024,Census Tract 40.24; East Baton Rouge Parish; Louisiana,5556,0.0638,0.5044,0.0044,0.3389,0.0579,1.4,3.0,61.5,26.9
22033004025,Census Tract 40.25; East Baton Rouge Parish; Louisiana,2753,0.0007,0.0718,0.0462,0.2357,0.0,15.7,7.0,23.4,19.5
22033004026,Census Tract 40.26; East Baton Rouge Parish; Louisiana,8099,0.0359,0.0264,0.1518,0.1794,0.14,10.2,2.9,9.7,16.0
22033004027,Census Tract 40.27; East Baton Rouge Parish; Louisiana,1805,0.0044,0.0088,0.316,0.3155,0.0,30.2,9.3,0.9,25.0
22033004028,Census Tract 40.28; East Baton Rouge Parish; Louisiana,3264,0.6048,0.706,0.1195,0.7284,0.75,7.4,17.2,43.8,63.4
22033004029,Census Tract 40.29; East Baton Rouge Parish; Louisiana,3897,0.61,0.5484,0.6628,0.8726,0.4516,6.7,10.7,28.8,87.2
22033004030,Census Tract 40.30; East Baton Rouge Parish; Louisiana,3521,0.7038,0.6496,0.6591,0.7526,0.6166,2.0,4.1,55.5,66.5
22033004031,Census Tract 40.31; East Baton Rouge Parish; Louisiana,5577,0.3497,0.7089,0.0601,0.5417,0.2588,7.0,7.5,46.7,42.9
22033004201,Census Tract 42.01; East Baton Rouge Parish; Louisiana,4352,0.8006,0.7265,0.4927,0.8895,0.849,17.7,14.7,43.9,89.1
22033004203,Census Tract 42.03; East Baton Rouge Parish; Louisiana,2767,0.8908,0.8094,0.8182,0.8704,0.7889,19.0,23.4,58.1,86.6
22033004204,Census Tract 42.04; East Baton Rouge Parish; Louisiana,4141,0.7925,0.7529,0.4575,0.8016,0.8526,15.0,17.4,39.0,74.2
22033004205,Census Tract 42.05; East Baton Rouge Parish; Louisiana,6202,0.5865,0.5821,0.2742,0.8997,0.6532,9.4,17.8,15.2,90.5
22033004301,Census Tract 43.01; East Baton Rouge Parish; Louisiana,6140,0.2661,0.0403,0.5557,0.407,0.6026,16.5,16.5,13.1,31.7
22033004302,Census Tract 43.02; East Baton Rouge Parish; Louisiana,5760,0.2925,0.2155,0.5066,0.0791,0.4831,19.0,11.3,7.5,9.5
22033004401,Census Tract 44.01; East Baton Rouge Parish; Louisiana,4376,0.2067,0.0748,0.5806,0.2416,0.4025,23.2,19.6,9.6,19.8
22033004402,Census Tract 44.02; East Baton Rouge Parish; Louisiana,6799,0.1342,0.1518,0.2361,0.2094,0.2566,10.8,7.4,15.7,17.7
22033004403,Census Tract 44.03; East Baton Rouge Parish; Louisiana,6227,0.0784,0.1129,0.2896,0.2211,0.1151,14.0,13.0,12.3,18.4
22033004503,Census Tract 45.03; East Baton Rouge Parish; Louisiana,5360,0.8174,0.478,0.9428,0.8228,0.8109,16.1,15.1,22.3,79.3
22033004504,Census Tract 45.04; East Baton Rouge Parish; Louisiana,6052,0.7845,0.7207,0.6694,0.7343,0.7661,15.1,12.5,30.1,64.9
22033004507,Census Tract 45.07; East Baton Rouge Parish; Louisiana,4498,0.0674,0.0938,0.1554,0.5051,0.1063,15.5,7.7,7.2,39.4
22033004509,Census Tract 45.09; East Baton Rouge Parish; Louisiana,6954,0.7133,0.5674,0.6166,0.6003,0.8336,14.9,17.4,25.2,48.1
22033004511,Census Tract 45.11; East Baton Rouge Parish; Louisiana,5024,0.4362,0.6202,0.1679,0.7782,0.3218,6.7,13.2,19.7,70.3
22033004512,Census Tract 45.12; East Baton Rouge Parish; Louisiana,2568,0.1906,0.1158,0.1158,0.5351,0.5051,16.1,7.9,11.2,42.0
22033004513,Census Tract 45.13; East Baton Rouge Parish; Louisiana,4612,0.0572,0.0982,0.1891,0.3668,0.0814,15.0,6.3,10.8,28.6
22033004514,Census Tract 45.14; East Baton Rouge Parish; Louisiana,2940,0.0029,0.0154,0.0762,0.1362,0.022,23.4,11.5,7.3,13.6
22033004515,Census Tract 45.15; East Baton Rouge Parish; Louisiana,3769,0.0066,0.0286,0.2243,0.2928,0.0,20.6,7.7,3.9,23.5
22033004516,Census Tract 45.16; East Baton Rouge Parish; Louisiana,4794,0.0843,0.0565,0.2456,0.2782,0.2434,25.7,9.0,6.2,22.4
22033004602,Census Tract 46.02; East Baton Rouge Parish; Louisiana,6965,0.5088,0.2353,0.162,0.6962,0.9611,11.8,10.4,16.8,59.8
22033004603,Census Tract 46.03; East Baton Rouge Parish; Louisiana,5879,0.599,0.2126,0.7683,0.6874,0.8497,14.8,17.9,17.0,58.4
22033004605,Census Tract 46.05; East Baton Rouge Parish; Louisiana,7662,0.2625,0.1576,0.4062,0.5007,0.393,8.5,19.9,8.8,39.1
22033004606,Census Tract 46.06; East Baton Rouge Parish; Louisiana,6367,0.0257,0.2001,0.0909,0.552,0.0,11.4,6.8,17.2,43.4
22033004700,Census Tract 47; East Baton Rouge Parish; Louisiana,6235,0.1679,0.4289,0.1188,0.2745,0.1364,28.3,10.9,13.1,22.2
22033004800,Census Tract 48; East Baton Rouge Parish; Louisiana,4749,0.6239,0.5828,0.2258,0.47,0.901,13.9,7.2,44.7,37.0
22033004900,Census Tract 49; East Baton Rouge Parish; Louisiana,4748,0.0916,0.0887,0.3233,0.1903,0.1774,19.7,5.9,7.6,16.6
22033005000,Census Tract 50; East Baton Rouge Parish; Louisiana,3744,0.0352,0.0132,0.5433,0.2584,0.0235,27.1,16.7,2.5,21.2
22033005100,Census Tract 51; East Baton Rouge Parish; Louisiana,3160,0.7962,0.5718,0.6701,0.765,0.9194,19.1,25.4,44.8,68.0
22033005200,Census Tract 52; East Baton Rouge Parish; Louisiana,2359,0.8284,0.8226,0.4003,0.8097,0.871,11.1,20.3,36.2,76.3
22033005300,Census Tract 53; East Baton Rouge Parish; Louisiana,3823,0.9355,0.8109,0.926,0.8682,0.8409,16.3,31.6,39.7,86.2
22033980000,Census Tract 9800; East Baton Rouge Parish; Louisiana,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
